x,y
-0.0199845290559,-0.0200235592988
0.00808549152219,0.0122850445047
0.0181643256837,0.0351620741305
0.0279924862969,0.0581546241485
0.036589960549,0.0816250082923
0.0459632724573,0.104805027704
0.0552136371811,0.128026547748
0.0644495246726,0.15126083254
0.0735958403495,0.174527776153
0.0826776157393,0.19782074723
0.0917146052218,0.221130047718
0.100731840324,0.244449046259
0.10957827564,0.267831151991
0.118553791531,0.291161202795
0.127551272253,0.314489899389
0.136425805792,0.337860096615
0.145507581182,0.361153067692
0.154247756998,0.384572253151
0.163293090323,0.407879343186
0.172604928639,0.431080112914
0.181787686381,0.454332937569
0.191228605271,0.47748165237
0.20094743969,0.500516559262
0.210593389979,0.523579704071
0.220388175222,0.5465810959
0.230146518401,0.569596606687
0.24011823682,0.59252433703
0.249893267684,0.615535426911
0.259899217716,0.638440694453
0.270095721914,0.661273156752
0.28029001566,0.684097275208
0.29059976899,0.706868482494
0.301086455496,0.729566028295
0.311440994734,0.752320906171
0.321866207648,0.775039202287
0.332409090599,0.797712931077
0.342986205163,0.820364197066
0.353523810966,0.84303485916
0.364089514992,0.865693612749
0.374686383935,0.888335180685
0.385243744119,0.910996144727
0.395829202525,0.933645200263
0.40647392407,0.956265161641
0.417126989458,0.978882912566
0.427760300466,1.00151036154
0.438405022011,1.02413032292
0.449061154094,1.0467427967
0.459686121259,1.06937245613
0.470330842805,1.09199241751
0.48101507311,1.11459298278
0.49169623672,1.1371988252
0.502340958266,1.15981878657
0.513013778033,1.18242683945
0.523694941643,1.20503268187
0.534359417569,1.22764294519
0.545032237336,1.25025099806
0.555705057104,1.27285905094
0.566400697947,1.29545212861
0.577065173872,1.31806239193
0.587757748019,1.34066074675
0.598450322167,1.36325910157
0.609154306852,1.38584996879
0.619843814305,1.40845360076
0.630531111305,1.43104888888
0.641232029295,1.45364503325
0.6519162596,1.47624559852
0.662600489905,1.49884616379
0.673301407895,1.52144230816
0.684013736422,1.54403096492
0.694711587718,1.56663238644
0.70542698294,1.58921576606
0.71614765531,1.61180221237
0.726863050532,1.63438559199
0.737592066745,1.65696982785
0.748335560189,1.67954129896
0.759095741319,1.70210834917
0.769847578606,1.72467760983
0.780607759736,1.74724466004
0.791387695245,1.76980201219
0.802147876375,1.7923690624
0.812922534737,1.81492334786
0.823719157931,1.83747627911
0.834521914515,1.86001865606
0.845313260562,1.88256852062
0.856112950452,1.90511617472
0.866932394721,1.92765413077
0.87773208461,1.95020178487
0.888543185037,1.97274195137
0.899374039843,1.99527241982
0.910210171798,2.01780595497
0.921032682762,2.04033863387
0.931868814716,2.06287216901
0.94271108006,2.08539514986
0.953541934866,2.10792561831
0.964381133516,2.13045387631
0.97523701985,2.1529777134
0.986095972879,2.17549627334
0.99694351537,2.19802232089
1.00779719125,2.22053781413
1.01866448812,2.24305416363
1.02953485169,2.26556523597
1.04039380472,2.28808379591
1.05126110159,2.3106001454
1.062139809,2.33310900729
1.07300710587,2.35562535678
1.08387746944,2.37813642913
1.09476452069,2.40064308057
1.10564629479,2.42314666531
1.1165250022,2.4456555272
1.12741205345,2.46816217864
1.13830744854,2.49066661962
1.14918922265,2.51317020437
1.16008461774,2.53567464535
1.17098307953,2.55817380919
1.18188460801,2.58066769588
1.1927830698,2.60316685972
1.20368680874,2.62566909025
1.21459668107,2.64816076649
1.2255034867,2.67065771987
1.23641335902,2.69314939611
1.2473285085,2.71564413904
1.25824979136,2.73812832768
-0.0199845290559,-0.0200235592988
0.00808549152219,0.0122850445047
0.0181643256837,0.0351620741305
0.0279924862969,0.0581546241485
0.036589960549,0.0816250082923
0.0459632724573,0.104805027704
0.0552136371811,0.128026547748
0.0644495246726,0.15126083254
0.0735958403495,0.174527776153
0.0826776157393,0.19782074723
0.0917146052218,0.221130047718
0.100731840324,0.244449046259
0.10957827564,0.267831151991
0.118553791531,0.291161202795
0.127551272253,0.314489899389
0.136425805792,0.337860096615
0.145507581182,0.361153067692
0.154247756998,0.384572253151
0.163293090323,0.407879343186
0.172604928639,0.431080112914
0.181787686381,0.454332937569
0.191228605271,0.47748165237
0.20094743969,0.500516559262
0.210593389979,0.523579704071
0.220388175222,0.5465810959
0.230146518401,0.569596606687
0.24011823682,0.59252433703
0.249893267684,0.615535426911
0.259899217716,0.638440694453
0.270095721914,0.661273156752
0.28029001566,0.684097275208
0.29059976899,0.706868482494
0.301086455496,0.729566028295
0.311440994734,0.752320906171
0.321866207648,0.775039202287
0.332409090599,0.797712931077
0.342986205163,0.820364197066
0.353523810966,0.84303485916
0.364089514992,0.865693612749
0.374686383935,0.888335180685
0.385243744119,0.910996144727
0.395829202525,0.933645200263
0.40647392407,0.956265161641
0.417126989458,0.978882912566
0.427760300466,1.00151036154
0.438405022011,1.02413032292
0.449061154094,1.0467427967
0.459686121259,1.06937245613
0.470330842805,1.09199241751
0.48101507311,1.11459298278
0.49169623672,1.1371988252
0.502340958266,1.15981878657
0.513013778033,1.18242683945
0.523694941643,1.20503268187
0.534359417569,1.22764294519
0.545032237336,1.25025099806
0.555705057104,1.27285905094
0.566400697947,1.29545212861
0.577065173872,1.31806239193
0.587757748019,1.34066074675
0.598450322167,1.36325910157
0.609154306852,1.38584996879
0.619843814305,1.40845360076
0.630531111305,1.43104888888
0.641232029295,1.45364503325
0.6519162596,1.47624559852
0.662600489905,1.49884616379
0.673301407895,1.52144230816
0.684013736422,1.54403096492
0.694711587718,1.56663238644
0.70542698294,1.58921576606
0.71614765531,1.61180221237
0.726863050532,1.63438559199
0.737592066745,1.65696982785
0.748335560189,1.67954129896
