x,y,z
1.445420119650323, 2.2614920583913105, 0.0
1.445420119650323, 2.2614920583913105, 0.0
1.445420119650323, 2.2614920583913105, 0.0
1.445420119650323, 2.2614920583913105, 0.0
1.445420119650323, 2.2614920583913105, 0.0
1.445420119650323, 2.2614920583913105, 0.0
1.445420119650323, 2.2614920583913105, 0.0
1.4454236077921685, 2.261227179396205, 0.0
1.4454059019645873, 2.2606974786551133, 0.0
1.4453666722468912, 2.2603019145715164, 0.0
1.4453666722469491, 2.2603019145721013, 0.0
1.4453696914869147, 2.2602846769781793, 0.0
1.4453479579223778, 2.260103653184004, 0.0
1.4453508744049568, 2.26003456077895, 0.0
1.4453319713568409, 2.259971068026151, 0.0
1.4453319713568409, 2.259971068026151, 0.0
1.44541622092275, 2.2602223019179224, 0.0
1.4454268270719683, 2.26021822990982, 0.0
1.4453749669819145, 2.2600962818420594, 0.0
1.4525166850443068, 2.2639425547693035, -2.775557561562892e-17
1.4525166850443068, 2.2639425547693035, -2.775557561562892e-17
1.4763174659502698, 2.3101268025625568, -2.775557561562892e-17
1.5090908152169502, 2.3775381847143806, -2.775557561562892e-17
1.525032834664942, 2.405509218047042, -2.775557561562892e-17
1.5250326542776391, 2.405509331201027, -2.775557561562892e-17
1.5250326542776391, 2.405509331201027, -2.775557561562892e-17
1.5487610860850507, 2.4516375510143615, -2.775557561562892e-17
1.5742511289215126, 2.488553048466564, 2.775557561562892e-17
1.6086370174148763, 2.5536307852812206, 2.775557561562892e-17
1.6197079205685072, 2.5744559575636505, 2.775557561562892e-17
1.6442416759805132, 2.6207145407809396, 2.775557561562892e-17
1.6709194373166294, 2.655026167766673, -2.775557561562892e-17
1.6707995077545932, 2.6547899413289757, -2.775557561562892e-17
1.6708328616352826, 2.654847196819712, -2.775557561562892e-17
1.6708028535166146, 2.6547881291902042, -2.775557561562892e-17
1.6928115770528693, 2.6966109884299496, -2.775557561562892e-17
1.7272916990007054, 2.7619046221855323, -2.775557561562892e-17
1.7366698119308108, 2.78091746579146, -2.775557561562892e-17
