x,y,z
0.0172650086766597, 0.012107971609670976, -2.7755575615628914e-17
0.29604053286343146, 0.8351738075053236, 0.0
0.3006815633039499, 0.9049826869804024, 0.0
0.3151100656512804, 1.0473765403579192, 0.0
0.3989668923015238, 1.0843094753877844, 0.0
0.41231701504103324, 1.1535691468845801, 0.0
0.49355836057992075, 1.2996585601942998, 0.0
0.5110287829076493, 1.370616571414327, 0.0
0.6735443977926432, 2.1189433884835323, 0.0
0.6950171184323338, 2.188028215531411, 0.0
0.8171208320409973, 2.2148232803981123, 0.0
0.8396557017484154, 2.2794343528980385, 0.0
0.8614126521298953, 2.3442784411956206, 0.0
0.988117837909041, 2.3436500074013913, 0.0
1.0880202876812253, 2.325360585615675, 0.0
1.1570597626228611, 2.3325833595398824, 0.0
1.3270446376661995, 2.36737668350504, 0.0
1.3889069648367423, 2.401283532299793, 0.0
1.448739356060137, 2.4427011800042617, 0.0
1.4721703142885059, 2.4713712488554695, 2.7755575615628914e-17
1.5265431461366639, 2.5182530308695528, 2.7755575615628914e-17
1.523398078480964, 2.5719764485950964, 0.0
1.5741774264101802, 2.6213383574401683, 0.0
1.6288648181025933, 2.6687762315751735, 0.0
1.700081604024837, 2.6726025450913324, 2.7755575615628914e-17
1.7616879331549586, 2.7094630129873756, 2.7755575615628914e-17
1.8255663470047074, 2.7404580773309366, 2.7755575615628914e-17
1.929174024569218, 2.736326183335894, 0.0
1.9977456076445352, 2.755242600277695, 0.0
2.0697321745631, 2.768407983210796, 0.0
2.205649563231339, 2.7591388374939645, 0.0
2.276637678882024, 2.7582587910421115, 0.0
2.3053725093885973, 2.7560781117526103, 0.0
