0.12,-0.03377655
0.121,-0.031268122
0.122,-0.028758556
0.123,-0.026247853
0.124,-0.023736016
0.125,-0.021223047
0.126,-0.018708948
0.127,-0.016193721
0.128,-0.013677368
0.129,-0.011159892
0.13,-0.008641295
0.131,-0.006121578
0.132,-0.003600743
0.133,-0.001078794
0.134,0.001444269
0.135,0.003968443
0.136,0.006493725
0.137,0.009020114
0.138,0.011547608
0.139,0.014076204
0.14,0.016605901
0.141,0.019136696
0.142,0.021668587
0.143,0.024201572
0.144,0.026735649
0.145,0.029270816
0.146,0.031807071
0.147,0.034344411
0.148,0.036882835
0.149,0.03942234
0.15,0.041962925
0.151,0.044504587
0.152,0.047047324
0.153,0.049591133
0.154,0.052136014
0.155,0.054681963
0.156,0.057228979
0.157,0.05977706
0.158,0.062326203
0.159,0.064876406
0.16,0.067427667
0.161,0.069979985
0.162,0.072533356
0.163,0.075087779
0.164,0.077643252
0.165,0.080199773
0.166,0.082757339
0.167,0.085315949
0.168,0.087875599
0.169,0.090436289
0.17,0.092998017
0.171,0.095560779
0.172,0.098124574
0.173,0.100689399
0.174,0.103255254
0.175,0.105822134
0.176,0.10839004
0.177,0.110958967
0.178,0.113528915
0.179,0.116099881
0.18,0.118671862
0.181,0.121244858
0.182,0.123818865
0.183,0.126393882
0.184,0.128969907
0.185,0.131546937
0.186,0.13412497
0.187,0.136704004
0.188,0.139284038
0.189,0.141865068
0.19,0.144447094
0.191,0.147030112
0.192,0.149614121
0.193,0.152199118
0.194,0.154785102
0.195,0.157372069
0.196,0.15996002
0.197,0.16254895
0.198,0.165138858
0.199,0.167729742
0.2,0.1703216
0.201,0.172914429
0.202,0.175508228
0.203,0.178102995
0.204,0.180698727
0.205,0.183295422
0.206,0.185893078
0.207,0.188491693
0.208,0.191091264
0.209,0.193691791
0.21,0.19629327
0.211,0.1988957
0.212,0.201499078
0.213,0.204103403
0.214,0.206708671
0.215,0.209314882
0.216,0.211922033
0.217,0.214530122
0.218,0.217139146
0.219,0.219749104
0.22,0.222359994
0.221,0.224971813
0.222,0.227584559
0.223,0.23019823
0.224,0.232812825
0.225,0.235428341
0.226,0.238044775
0.227,0.240662126
0.228,0.243280392
0.229,0.245899571
0.23,0.248519659
0.231,0.251140657
0.232,0.25376256
0.233,0.256385367
0.234,0.259009077
0.235,0.261633686
0.236,0.264259193
0.237,0.266885596
0.238,0.269512892
0.239,0.27214108
0.24,0.274770157
0.241,0.277400121
0.242,0.28003097
0.243,0.282662703
0.244,0.285295316
0.245,0.287928808
0.246,0.290563176
0.247,0.293198419
0.248,0.295834535
0.249,0.298471521
0.25,0.301109375
0.251,0.303748095
0.252,0.306387679
0.253,0.309028125
0.254,0.311669431
0.255,0.314311595
0.256,0.316954614
0.257,0.319598486
0.258,0.32224321
0.259,0.324888783
0.26,0.327535203
0.261,0.330182468
0.262,0.332830576
0.263,0.335479525
0.264,0.338129312
0.265,0.340779936
0.266,0.343431395
0.267,0.346083686
0.268,0.348736807
0.269,0.351390756
0.27,0.354045531
0.271,0.35670113
0.272,0.35935755
0.273,0.362014791
0.274,0.364672849
0.275,0.367331722
0.276,0.369991409
0.277,0.372651906
0.278,0.375313213
0.279,0.377975327
0.28,0.380638246
0.281,0.383301968
0.282,0.38596649
0.283,0.388631811
0.284,0.391297929
0.285,0.39396484
0.286,0.396632544
0.287,0.399301038
0.288,0.40197032
0.289,0.404640388
0.29,0.40731124
0.291,0.409982873
0.292,0.412655286
0.293,0.415328476
0.294,0.418002442
0.295,0.420677181
0.296,0.423352691
0.297,0.42602897
0.298,0.428706016
0.299,0.431383827
0.3,0.4340624
0.301,0.436741734
0.302,0.439421826
0.303,0.442102675
0.304,0.444784278
0.305,0.447466633
0.306,0.450149738
0.307,0.452833591
0.308,0.45551819
0.309,0.458203532
0.31,0.460889616
0.311,0.46357644
0.312,0.466264
0.313,0.468952296
0.314,0.471641326
0.315,0.474331086
0.316,0.477021575
0.317,0.479712791
0.318,0.482404731
0.319,0.485097394
0.32,0.487790778
0.321,0.490484879
0.322,0.493179698
0.323,0.49587523
0.324,0.498571474
0.325,0.501268428
0.326,0.50396609
0.327,0.506664458
0.328,0.509363529
0.329,0.512063301
0.33,0.514763773
0.331,0.517464943
0.332,0.520166807
0.333,0.522869364
0.334,0.525572613
0.335,0.52827655
0.336,0.530981173
0.337,0.533686482
0.338,0.536392472
0.339,0.539099143
0.34,0.541806493
0.341,0.544514518
0.342,0.547223218
0.343,0.549932589
0.344,0.55264263
0.345,0.555353339
0.346,0.558064714
0.347,0.560776752
0.348,0.563489451
0.349,0.566202809
0.35,0.568916825
0.351,0.571631496
0.352,0.574346819
0.353,0.577062794
0.354,0.579779417
0.355,0.582496686
0.356,0.5852146
0.357,0.587933157
0.358,0.590652354
0.359,0.593372188
0.36,0.596092659
0.361,0.598813764
0.362,0.601535501
0.363,0.604257867
0.364,0.606980861
0.365,0.60970448
0.366,0.612428723
0.367,0.615153586
0.368,0.61787907
0.369,0.62060517
0.37,0.623331885
0.371,0.626059212
0.372,0.628787151
0.373,0.631515698
0.374,0.634244851
0.375,0.636974609
0.376,0.63970497
0.377,0.64243593
0.378,0.645167488
0.379,0.647899642
0.38,0.65063239
0.381,0.65336573
0.382,0.656099659
0.383,0.658834176
0.384,0.661569278
0.385,0.664304964
0.386,0.66704123
0.387,0.669778076
0.388,0.672515498
0.389,0.675253496
0.39,0.677992066
0.391,0.680731206
0.392,0.683470915
0.393,0.686211191
0.394,0.688952031
0.395,0.691693432
0.396,0.694435394
0.397,0.697177914
